location,date,new_cases,total_cases,new_deaths,total_deaths
Morocco,2020-02-07,,,,
Morocco,2020-02-08,,,,
Morocco,2020-02-09,,,,
Morocco,2020-02-10,,,,
Morocco,2020-02-11,,,,
Morocco,2020-02-12,,,,
Morocco,2020-02-13,,,,
Morocco,2020-02-14,,,,
Morocco,2020-02-15,,,,
Morocco,2020-02-16,,,,
Morocco,2020-02-17,,,,
Morocco,2020-02-18,,,,
Morocco,2020-02-19,,,,
Morocco,2020-02-20,,,,
Morocco,2020-02-21,,,,
Morocco,2020-02-22,,,,
Morocco,2020-02-23,,,,
Morocco,2020-02-24,,,,
Morocco,2020-02-25,,,,
Morocco,2020-02-26,,,,
Morocco,2020-02-27,,,,
Morocco,2020-02-28,,,,
Morocco,2020-02-29,,,,
Morocco,2020-03-01,,,,
Morocco,2020-03-02,1.0,1.0,,
Morocco,2020-03-03,0.0,1.0,,
Morocco,2020-03-04,0.0,1.0,,
Morocco,2020-03-05,1.0,2.0,,
Morocco,2020-03-06,0.0,2.0,,
Morocco,2020-03-07,0.0,2.0,,
Morocco,2020-03-08,0.0,2.0,,
Morocco,2020-03-09,0.0,2.0,,
Morocco,2020-03-10,1.0,3.0,1.0,1.0
Morocco,2020-03-11,2.0,5.0,0.0,1.0
Morocco,2020-03-12,1.0,6.0,0.0,1.0
Morocco,2020-03-13,1.0,7.0,0.0,1.0
Morocco,2020-03-14,10.0,17.0,0.0,1.0
Morocco,2020-03-15,11.0,28.0,0.0,1.0
Morocco,2020-03-16,1.0,29.0,0.0,1.0
Morocco,2020-03-17,9.0,38.0,1.0,2.0
Morocco,2020-03-18,11.0,49.0,0.0,2.0
Morocco,2020-03-19,14.0,63.0,0.0,2.0
Morocco,2020-03-20,14.0,77.0,1.0,3.0
Morocco,2020-03-21,19.0,96.0,0.0,3.0
Morocco,2020-03-22,19.0,115.0,1.0,4.0
Morocco,2020-03-23,28.0,143.0,0.0,4.0
Morocco,2020-03-24,27.0,170.0,1.0,5.0
Morocco,2020-03-25,55.0,225.0,1.0,6.0
Morocco,2020-03-26,50.0,275.0,5.0,11.0
Morocco,2020-03-27,70.0,345.0,12.0,23.0
Morocco,2020-03-28,57.0,402.0,2.0,25.0
Morocco,2020-03-29,77.0,479.0,1.0,26.0
Morocco,2020-03-30,77.0,556.0,7.0,33.0
Morocco,2020-03-31,61.0,617.0,3.0,36.0
Morocco,2020-04-01,37.0,654.0,3.0,39.0
Morocco,2020-04-02,54.0,708.0,5.0,44.0
Morocco,2020-04-03,83.0,791.0,4.0,48.0
Morocco,2020-04-04,128.0,919.0,11.0,59.0
Morocco,2020-04-05,102.0,1021.0,11.0,70.0
Morocco,2020-04-06,99.0,1120.0,10.0,80.0
Morocco,2020-04-07,64.0,1184.0,10.0,90.0
Morocco,2020-04-08,91.0,1275.0,3.0,93.0
Morocco,2020-04-09,99.0,1374.0,4.0,97.0
Morocco,2020-04-10,74.0,1448.0,10.0,107.0
Morocco,2020-04-11,97.0,1545.0,4.0,111.0
Morocco,2020-04-12,116.0,1661.0,7.0,118.0
Morocco,2020-04-13,102.0,1763.0,8.0,126.0
Morocco,2020-04-14,125.0,1888.0,0.0,126.0
Morocco,2020-04-15,136.0,2024.0,1.0,127.0
Morocco,2020-04-16,259.0,2283.0,3.0,130.0
Morocco,2020-04-17,281.0,2564.0,5.0,135.0
Morocco,2020-04-18,121.0,2685.0,2.0,137.0
Morocco,2020-04-19,170.0,2855.0,4.0,141.0
Morocco,2020-04-20,191.0,3046.0,2.0,143.0
Morocco,2020-04-21,163.0,3209.0,2.0,145.0
Morocco,2020-04-22,237.0,3446.0,4.0,149.0
Morocco,2020-04-23,122.0,3568.0,6.0,155.0
Morocco,2020-04-24,190.0,3758.0,3.0,158.0
Morocco,2020-04-25,139.0,3897.0,1.0,159.0
Morocco,2020-04-26,168.0,4065.0,2.0,161.0
Morocco,2020-04-27,55.0,4120.0,1.0,162.0
Morocco,2020-04-28,132.0,4252.0,3.0,165.0
Morocco,2020-04-29,69.0,4321.0,3.0,168.0
Morocco,2020-04-30,102.0,4423.0,2.0,170.0
Morocco,2020-05-01,146.0,4569.0,1.0,171.0
Morocco,2020-05-02,160.0,4729.0,2.0,173.0
Morocco,2020-05-03,174.0,4903.0,1.0,174.0
Morocco,2020-05-04,150.0,5053.0,5.0,179.0
Morocco,2020-05-05,166.0,5219.0,2.0,181.0
Morocco,2020-05-06,189.0,5408.0,2.0,183.0
Morocco,2020-05-07,140.0,5548.0,0.0,183.0
Morocco,2020-05-08,163.0,5711.0,3.0,186.0
Morocco,2020-05-09,199.0,5910.0,0.0,186.0
Morocco,2020-05-10,153.0,6063.0,2.0,188.0
Morocco,2020-05-11,218.0,6281.0,0.0,188.0
Morocco,2020-05-12,137.0,6418.0,0.0,188.0
Morocco,2020-05-13,94.0,6512.0,0.0,188.0
Morocco,2020-05-14,95.0,6607.0,2.0,190.0
Morocco,2020-05-15,45.0,6652.0,0.0,190.0
Morocco,2020-05-16,89.0,6741.0,2.0,192.0
Morocco,2020-05-17,129.0,6870.0,0.0,192.0
Morocco,2020-05-18,82.0,6952.0,0.0,192.0
Morocco,2020-05-19,71.0,7023.0,1.0,193.0
Morocco,2020-05-20,110.0,7133.0,1.0,194.0
Morocco,2020-05-21,78.0,7211.0,2.0,196.0
Morocco,2020-05-22,121.0,7332.0,1.0,197.0
Morocco,2020-05-23,74.0,7406.0,1.0,198.0
Morocco,2020-05-24,27.0,7433.0,1.0,199.0
Morocco,2020-05-25,99.0,7532.0,1.0,200.0
Morocco,2020-05-26,45.0,7577.0,2.0,202.0
Morocco,2020-05-27,24.0,7601.0,0.0,202.0
Morocco,2020-05-28,42.0,7643.0,0.0,202.0
Morocco,2020-05-29,71.0,7714.0,0.0,202.0
Morocco,2020-05-30,66.0,7780.0,2.0,204.0
Morocco,2020-05-31,27.0,7807.0,1.0,205.0
Morocco,2020-06-01,26.0,7833.0,0.0,205.0
Morocco,2020-06-02,33.0,7866.0,1.0,206.0
Morocco,2020-06-03,56.0,7922.0,0.0,206.0
Morocco,2020-06-04,81.0,8003.0,2.0,208.0
Morocco,2020-06-05,68.0,8071.0,0.0,208.0
Morocco,2020-06-06,80.0,8151.0,0.0,208.0
Morocco,2020-06-07,73.0,8224.0,0.0,208.0
Morocco,2020-06-08,78.0,8302.0,0.0,208.0
Morocco,2020-06-09,135.0,8437.0,2.0,210.0
Morocco,2020-06-10,71.0,8508.0,1.0,211.0
Morocco,2020-06-11,29.0,8537.0,0.0,211.0
Morocco,2020-06-12,73.0,8610.0,1.0,212.0
Morocco,2020-06-13,82.0,8692.0,0.0,212.0
Morocco,2020-06-14,101.0,8793.0,0.0,212.0
Morocco,2020-06-15,92.0,8885.0,0.0,212.0
Morocco,2020-06-16,46.0,8931.0,0.0,212.0
Morocco,2020-06-17,66.0,8997.0,1.0,213.0
Morocco,2020-06-18,77.0,9074.0,0.0,213.0
Morocco,2020-06-19,539.0,9613.0,0.0,213.0
Morocco,2020-06-20,226.0,9839.0,0.0,213.0
Morocco,2020-06-21,138.0,9977.0,1.0,214.0
Morocco,2020-06-22,195.0,10172.0,0.0,214.0
Morocco,2020-06-23,172.0,10344.0,0.0,214.0
